"Pill_id","name","logo","image","image_back","break_notch","color","weight","diameter","thickness","place","date","more_infos"
"356","Noname","Noname","http://vied12.github.io/pillen/static/pillen/bild1-2TRnoa.jpg","","False","#a25509","","ca. 8 mm","ca. 4 mm","Wien","2009/05/30",""
"357","Noname (deformiert)","Noname","http://vied12.github.io/pillen/static/pillen/bild1-VQpe6n.jpg","","False","#d4bb6b","","","","Wien","2009/05/30",""
"358","Diamant","Diamant","http://vied12.github.io/pillen/static/pillen/bild1-c5lgQ2.jpg","","False","#7a361c","","8 mm","5 mm","Wien","2009/05/30",""
"359","Diamant","Diamant","http://vied12.github.io/pillen/static/pillen/bild1-y0ddgT.jpg","","False","#6d1e14","","8 mm","5 mm","Wien","2009/05/30",""
"360","Red Bull","Red Bull","http://vied12.github.io/pillen/static/pillen/bild1-uPg3QI.jpg","","False","#675c2e","","ca. 7 mm","ca. 5 mm","Wien","2009/05/30",""
"361","Anker","Ankerhaken","http://vied12.github.io/pillen/static/pillen/bild1-pXyZ0G.jpg","","False","#a77b38","","10 mm","5 mm","Wien","2009/05/30",""
"362","Delfin","Delfin","http://vied12.github.io/pillen/static/pillen/bild1-c3hDxx.jpg","","False","#6c4d1e","","9,21 mm","4,5 mm","Wien","2009/05/30",""
"363","Musiknote","Musiknote","http://vied12.github.io/pillen/static/pillen/bild1-PD1uoh.jpg","","False","#978673","unbekannt","8 mm","5 mm","Wien","2009/05/30",""
"364","Herz","Herz","http://vied12.github.io/pillen/static/pillen/bild1-ojZOoy.jpg","","False","#a9813e","unbekannt","8 mm","5 mm","Wien","2009/05/30",""
"365","Rolex","Rolex","http://vied12.github.io/pillen/static/pillen/bild1-bqzbSf.jpg","","False","#a48860","unbekannt","8 mm","4 mm","Wien","2009/05/30",""
"366","Dolce&Gabbana","Dolce&Gabbana","http://vied12.github.io/pillen/static/pillen/bild1-B7aorL.jpg","","False","#5c0e07","unbekannt","8 mm","5 mm","Wien","2009/05/30",""
"367","Rolex (mehrere Pillen getestet)","Rolex","http://vied12.github.io/pillen/static/pillen/bild1-2zJZYg.jpg","","False","#9a6f2a","unbekannt","8 mm","4 mm","Wien","2009/05/30",""
"368","Rolex (mehrere Pillen getestet)","Rolex","http://vied12.github.io/pillen/static/pillen/bild1-Yc06yz.jpg","","False","#ae842c","unbekannt","8 mm","4 mm","Wien","2009/05/30",""
"369","Herz","Herz","http://vied12.github.io/pillen/static/pillen/bild1-FLl3Ao.jpg","","False","#b0552f","","8,12 mm","5,34 mm","Wien","2009/05/30",""
"370","Fragezeichen","Fragezeichen","http://vied12.github.io/pillen/static/pillen/bild1-xYeC97.jpg","","False","#8a7647","unbekannt","7 mm","3 mm","Wien","2009/05/30",""
